n,pi
1,16.000000000000000000
2,16.000000000000000000
3,16.000000000000000000
4,8.000000000000000000
5,6.400000000000000355
6,16.000000000000000000
7,11.428571428571428825
8,16.000000000000000000
9,10.666666666666666075
10,9.599999999999999645
11,11.636363636363636687
12,9.333333333333333925
13,12.307692307692308376
14,13.714285714285713524
15,13.866666666666667140
16,14.000000000000000000
17,11.294117647058824261
18,13.333333333333333925
19,11.789473684210525661
20,12.000000000000000000
21,14.476190476190476275
22,14.545454545454544970
23,13.913043478260869179
24,12.666666666666666075
25,12.160000000000000142
26,12.923076923076923350
27,14.222222222222221433
28,12.000000000000000000
29,12.137931034482758008
30,13.866666666666667140
31,14.967741935483870108
32,10.500000000000000000
33,11.636363636363636687
34,12.235294117647057988
35,10.971428571428571530
36,12.444444444444444642
37,10.810810810810810523
38,13.473684210526315042
39,13.948717948717948900
40,12.000000000000000000
41,9.756097560975609539
42,12.190476190476189799
43,12.651162790697673799
44,10.545454545454544970
45,14.222222222222221433
46,13.217391304347826164
47,11.234042553191489588
48,13.333333333333333925
49,12.408163265306122014
50,11.839999999999999858
51,12.549019607843137081
52,12.307692307692308376
53,13.283018867924528905
54,13.037037037037036313
55,13.672727272727271952
56,13.428571428571428825
57,12.912280701754385248
58,11.586206896551724199
59,10.847457627118643586
60,13.866666666666667140
61,13.377049180327869493
62,11.612903225806451957
63,12.444444444444444642
64,12.750000000000000000
65,12.307692307692308376
66,13.818181818181818343
67,12.417910447761194348
68,12.941176470588235503
69,10.898550724637681597
70,12.800000000000000711
71,13.070422535211267956
72,12.888888888888889284
73,13.589041095890410205
74,11.675675675675675436
75,13.439999999999999503
76,14.105263157894736281
77,12.675324675324675994
78,11.897435897435897800
79,12.759493670886076444
80,12.000000000000000000
81,13.234567901234568055
82,11.902439024390243816
83,12.144578313253012070
84,13.142857142857142350
85,12.800000000000000711
86,12.093023255813953654
87,11.954022988505746738
88,12.727272727272726627
89,12.764044943820223921
90,13.155555555555555003
91,12.307692307692308376
92,12.869565217391304657
93,13.075268817204301897
94,12.595744680851064246
95,12.294736842105262298
96,12.000000000000000000
97,13.195876288659793119
98,12.408163265306122014
99,13.414141414141413478
100,12.640000000000000568
101,13.623762376237623428
102,12.549019607843137081
103,12.116504854368931987
104,12.769230769230770051
105,12.952380952380952550
106,12.226415094339623479
107,11.364485981308410700
108,12.592592592592593448
109,13.211009174311927339
110,13.527272727272727337
111,12.108108108108108780
112,12.142857142857142350
113,12.743362831858407347
114,11.789473684210525661
115,12.939130434782608603
116,12.000000000000000000
117,13.401709401709402059
118,12.610169491525423879
119,12.369747899159664328
120,13.199999999999999289
121,12.165289256198347445
122,13.114754098360656087
123,11.317073170731706711
124,12.903225806451612101
125,13.055999999999999162
126,12.571428571428571175
127,12.472440944881888925
128,13.000000000000000000
129,12.031007751937984551
130,11.938461538461538680
131,12.824427480916030575
132,13.333333333333333925
133,12.030075187969924144
134,12.298507462686567138
135,11.851851851851851194
136,13.058823529411764497
137,12.379562043795621307
138,12.637681159420289134
139,12.431654676258993675
140,13.714285714285713524
141,13.163120567375885983
142,13.859154929577464088
143,12.755244755244754984
144,12.222222222222221433
145,12.689655172413793593
146,12.164383561643836273
147,12.625850340136054228
148,12.756756756756756133
149,12.778523489932885226
150,13.119999999999999218
151,12.609271523178808394
152,12.421052631578946901
153,11.816993464052288232
154,12.675324675324675994
155,12.903225806451612101
156,12.000000000000000000
157,13.350318471337580206
158,12.050632911392405333
159,12.477987421383648581
160,12.099999999999999645
161,12.024844720496894013
162,13.432098765432098020
163,12.760736196319017566
164,11.512195121951219079
165,12.315151515151514516
166,12.819277108433734469
167,13.029940119760478723
168,12.571428571428571175
169,12.970414201183432468
170,13.082352941176470296
171,12.257309941520468044
172,13.209302325581395721
173,11.838150289017340455
174,12.413793103448275801
175,12.160000000000000142
176,12.090909090909091717
177,13.197740112994349460
178,12.404494382022472010
179,13.497206703910615389
180,12.977777777777777857
181,13.966850828729281631
182,13.010989010989010950
183,11.628415300546448563
184,12.782608695652173836
185,13.232432432432432279
186,13.075268817204301897
187,12.919786096256684615
188,12.170212765957446166
189,13.037037037037036313
190,13.136842105263157876
191,12.481675392670156910
192,12.750000000000000000
193,12.683937823834197545
194,11.876288659793814873
195,13.128205128205127750
196,12.244897959183672853
197,12.670050761421320473
198,12.363636363636363313
199,12.060301507537689147
200,12.960000000000000853
201,12.895522388059701413
202,11.168316831683167578
203,12.374384236453202845
204,12.549019607843137081
205,12.409756097560975974
206,12.660194174757281260
207,13.294685990338164672
208,11.923076923076923350
209,12.325358851674641514
210,12.419047619047619335
211,12.587677725118483707
212,12.000000000000000000
213,12.394366197183098066
214,13.158878504672896881
215,12.948837209302325846
216,13.185185185185185119
217,12.313364055299539146
218,12.990825688073394772
219,12.712328767123286966
220,12.800000000000000711
221,11.873303167420814930
222,12.972972972972973693
223,12.125560538116591403
224,13.285714285714286476
225,12.515555555555556211
226,12.247787610619468524
227,12.757709251101321257
228,12.491228070175438347
229,11.807860262008734509
230,11.965217391304348027
231,12.744588744588744689
232,11.862068965517241992
233,12.085836909871245481
234,12.649572649572649041
235,12.255319148936170137
236,13.559322033898304483
237,12.421940928270041482
238,11.764705882352942012
239,11.380753138075313302
240,12.199999999999999289
241,12.547717842323651283
242,12.363636363636363313
243,12.576131687242797952
244,13.114754098360656087
245,12.473469387755102389
246,12.032520325203252654
247,12.566801619433197956
248,13.225806451612903913
249,12.851405622489959768
250,12.160000000000000142
251,13.131474103585658142
252,12.634920634920634441
253,13.217391304347826164
254,12.472440944881888925
255,12.611764705882352544
256,12.750000000000000000
257,11.891050583657587936
258,11.968992248062015449
259,12.664092664092663654
260,12.184615384615383959
261,12.260536398467433372
262,13.007633587786259000
263,12.532319391634981542
264,13.090909090909091717
265,12.800000000000000711
266,12.451127819548872822
267,13.303370786516854452
268,13.970149253731342753
269,12.847583643122677088
270,12.977777777777777857
271,12.634686346863468032
272,12.117647058823528994
273,12.717948717948717174
274,12.671532846715328091
275,12.218181818181818699
276,12.579710144927537030
277,11.379061371841155292
278,12.776978417266187549
279,12.329749103942651445
280,12.914285714285714590
281,11.615658362989323749
282,12.595744680851064246
283,12.494699646643109503
284,11.323943661971830110
285,12.014035087719298289
286,12.531468531468531680
287,12.599303135888501259
288,12.777777777777778567
289,12.290657439446366794
290,11.751724137931034875
291,12.371134020618557159
292,12.821917808219177815
293,12.177474402730375402
294,13.278911564625850872
295,12.854237288135593076
296,12.756756756756756133
297,12.390572390572391015
298,12.724832214765100957
299,12.735785953177257923
300,12.800000000000000711
301,12.279069767441860961
302,12.609271523178808394
303,11.669966996699669082
304,13.105263157894736281
305,12.485245901639343558
306,12.653594771241829520
307,13.342019543973941964
308,12.467532467532468132
309,12.530744336569579644
310,12.903225806451612101
311,11.987138263665594096
312,12.666666666666666075
313,12.370607028753994427
314,11.923566878980890849
315,12.749206349206348321
