x,y,Ex,Ey,E
-1.00000e+01,-1.00000e+01,3.14397e-02,8.79143e-02,9.33670e-02
-1.00000e+01,-9.50000e+00,3.88340e-02,9.44474e-02,1.02119e-01
-1.00000e+01,-9.00000e+00,4.74076e-02,1.01114e-01,1.11676e-01
-1.00000e+01,-8.50000e+00,5.72820e-02,1.07795e-01,1.22070e-01
-1.00000e+01,-8.00000e+00,6.85690e-02,1.14337e-01,1.33322e-01
-1.00000e+01,-7.50000e+00,8.13612e-02,1.20545e-01,1.45433e-01
-1.00000e+01,-7.00000e+00,9.57194e-02,1.26181e-01,1.58379e-01
-1.00000e+01,-6.50000e+00,1.11658e-01,1.30968e-01,1.72105e-01
-1.00000e+01,-6.00000e+00,1.29131e-01,1.34587e-01,1.86516e-01
-1.00000e+01,-5.50000e+00,1.48010e-01,1.36694e-01,2.01475e-01
-1.00000e+01,-5.00000e+00,1.68074e-01,1.36930e-01,2.16792e-01
-1.00000e+01,-4.50000e+00,1.88996e-01,1.34945e-01,2.32228e-01
-1.00000e+01,-4.00000e+00,2.10339e-01,1.30426e-01,2.47494e-01
-1.00000e+01,-3.50000e+00,2.31555e-01,1.23126e-01,2.62255e-01
-1.00000e+01,-3.00000e+00,2.52009e-01,1.12898e-01,2.76142e-01
-1.00000e+01,-2.50000e+00,2.71001e-01,9.97263e-02,2.88768e-01
-1.00000e+01,-2.00000e+00,2.87812e-01,8.37476e-02,2.99749e-01
-1.00000e+01,-1.50000e+00,3.01746e-01,6.52616e-02,3.08722e-01
-1.00000e+01,-1.00000e+00,3.12190e-01,4.47268e-02,3.15378e-01
-1.00000e+01,-5.00000e-01,3.18663e-01,2.27399e-02,3.19473e-01
-1.00000e+01,0.00000e+00,3.20856e-01,7.80626e-18,3.20856e-01
-1.00000e+01,5.00000e-01,3.18663e-01,-2.27399e-02,3.19473e-01
-1.00000e+01,1.00000e+00,3.12190e-01,-4.47268e-02,3.15378e-01
-1.00000e+01,1.50000e+00,3.01746e-01,-6.52616e-02,3.08722e-01
-1.00000e+01,2.00000e+00,2.87812e-01,-8.37476e-02,2.99749e-01
-1.00000e+01,2.50000e+00,2.71001e-01,-9.97263e-02,2.88768e-01
-1.00000e+01,3.00000e+00,2.52009e-01,-1.12898e-01,2.76142e-01
