t,y,y'
1.00000e+00,2.83468e-01,4.79133e+00
2.00000e+00,-8.37912e-01,2.71635e+00
3.00000e+00,-7.58162e-01,-3.24491e+00
4.00000e+00,4.06970e-01,-4.55228e+00
5.00000e+00,9.87857e-01,6.59528e-01
6.00000e+00,1.53625e-01,4.92011e+00
7.00000e+00,-8.99404e-01,2.13075e+00
8.00000e+00,-6.63352e-01,-3.70554e+00
9.00000e+00,5.22125e-01,-4.22861e+00
1.00000e+01,9.58475e-01,1.30306e+00
1.10000e+01,2.19613e-02,4.96171e+00
1.20000e+01,-9.44704e-01,1.51171e+00
1.30000e+01,-5.57540e-01,-4.09804e+00
1.40000e+01,6.27341e-01,-3.83291e+00
1.50000e+01,9.12463e-01,1.91938e+00
1.60000e+01,-1.09200e-01,4.91592e+00
1.70000e+01,-9.73120e-01,8.70300e-01
1.80000e+01,-4.42656e-01,-4.41596e+00
1.90000e+01,7.20836e-01,-3.37260e+00
2.00000e+01,8.50745e-01,2.49786e+00
2.10000e+01,-2.37560e-01,4.78417e+00
2.20000e+01,-9.84268e-01,2.17932e-01
2.30000e+01,-3.20779e-01,-4.65423e+00
2.40000e+01,8.01050e-01,-2.85622e+00
2.50000e+01,7.74511e-01,3.02859e+00
2.60000e+01,-3.60884e-01,4.56935e+00
2.70000e+01,-9.78067e-01,-4.33867e-01
2.80000e+01,-1.94098e-01,-4.80922e+00
2.90000e+01,8.66669e-01,-2.29321e+00
3.00000e+01,6.85201e-01,3.50259e+00
3.10000e+01,-4.77041e-01,4.27581e+00
3.20000e+01,-9.54744e-01,-1.07366e+00
3.30000e+01,-6.48670e-02,-4.87876e+00
3.40000e+01,9.16634e-01,-1.69375e+00
3.50000e+01,5.84468e-01,3.91190e+00
3.60000e+01,-5.84038e-01,3.90919e+00
3.70000e+01,-9.14814e-01,-1.69028e+00
3.80000e+01,6.46262e-02,-4.86218e+00
3.90000e+01,9.50172e-01,-1.06862e+00
4.00000e+01,4.74157e-01,4.24975e+00
4.10000e+01,-6.80055e-01,3.47643e+00
4.20000e+01,-8.59091e-01,-2.27304e+00
4.30000e+01,1.92105e-01,-4.76035e+00
4.40000e+01,9.66802e-01,-4.28972e-01
4.50000e+01,3.56274e-01,4.51072e+00
4.60000e+01,-7.63486e-01,2.98561e+00
4.70000e+01,-7.88668e-01,-2.81194e+00
4.80000e+01,3.15344e-01,-4.57568e+00
4.90000e+01,9.66356e-01,2.13866e-01
5.00000e+01,2.32942e-01,4.69076e+00
5.10000e+01,-8.32952e-01,2.44574e+00
5.20000e+01,-7.04884e-01,-3.29783e+00
5.30000e+01,4.32211e-01,-4.31199e+00
5.40000e+01,9.48953e-01,8.48584e-01
5.50000e+01,1.06362e-01,4.78724e+00
5.60000e+01,-8.87330e-01,1.86662e+00
5.70000e+01,-6.09298e-01,-3.72252e+00
5.80000e+01,5.40695e-01,-3.97441e+00
5.90000e+01,9.15011e-01,1.46409e+00
6.00000e+01,-2.12213e-02,4.79904e+00
6.10000e+01,-9.25764e-01,1.25869e+00
6.20000e+01,-5.03670e-01,-4.07896e+00
6.30000e+01,6.38947e-01,-3.56936e+00
6.40000e+01,8.65234e-01,2.04969e+00
6.50000e+01,-1.47560e-01,4.72652e+00
6.60000e+01,-9.47688e-01,6.32810e-01
6.70000e+01,-3.89924e-01,-4.36136e+00
6.80000e+01,7.25312e-01,-3.10444e+00
6.90000e+01,8.00610e-01,2.59530e+00
7.00000e+01,-2.70443e-01,4.57154e+00
7.10000e+01,-9.52830e-01,9.90629e-05
7.20000e+01,-2.70115e-01,-4.56529e+00
7.30000e+01,7.98358e-01,-2.58824e+00
7.40000e+01,7.22377e-01,3.09162e+00
7.50000e+01,-3.87737e-01,4.33739e+00
7.60000e+01,-9.41214e-01,-6.28288e-01
7.70000e+01,-1.46387e-01,-4.68768e+00
7.80000e+01,8.56891e-01,-2.03014e+00
7.90000e+01,6.32002e-01,3.53027e+00
8.00000e+01,-4.97420e-01,4.02872e+00
8.10000e+01,-9.13158e-01,-1.24135e+00
8.20000e+01,-2.09419e-02,-4.72697e+00
8.30000e+01,8.99990e-01,-1.44026e+00
8.40000e+01,5.31159e-01,3.90396e+00
8.50000e+01,-5.97621e-01,3.65148e+00
8.60000e+01,-8.69267e-01,-1.82841e+00
8.70000e+01,1.04008e-01,-4.68304e+00
8.80000e+01,9.27000e-01,-8.29152e-01
8.90000e+01,4.21687e-01,4.20656e+00
9.00000e+01,-6.86645e-01,3.21276e+00
9.10000e+01,-8.10417e-01,-2.37934e+00
9.20000e+01,2.26271e-01,-4.55723e+00
9.30000e+01,9.37554e-01,-2.07686e-01
9.40000e+01,3.05569e-01,4.43325e+00
9.50000e+01,-7.63004e-01,2.72068e+00
9.60000e+01,-7.37747e-01,-2.88471e+00
9.70000e+01,3.43719e-01,-4.35229e+00
9.80000e+01,9.31577e-01,4.13148e-01
9.90000e+01,1.84888e-01,4.58055e+00
1.00000e+02,-8.25444e-01,2.18424e+00
