t,x1,x2,x3,E
1.50000e-01,-4.91386e-01,1.13853e-01,1.32185e+00,2.40430e+00
3.00000e-01,-4.64935e-01,2.50208e-01,1.09377e+00,3.49237e+00
4.50000e-01,-4.20018e-01,4.00084e-01,8.26987e-01,4.38139e+00
6.00000e-01,-3.56473e-01,5.53369e-01,5.34485e-01,4.90190e+00
7.50000e-01,-2.74730e-01,6.99413e-01,2.30304e-01,4.96527e+00
9.00000e-01,-1.75911e-01,8.27657e-01,-7.11769e-02,4.58008e+00
1.05000e+00,-6.19125e-02,9.28260e-01,-3.55982e-01,3.84762e+00
1.20000e+00,6.45490e-02,9.92695e-01,-6.11254e-01,2.93776e+00
1.35000e+00,1.99934e-01,1.01427e+00,-8.25901e-01,2.05078e+00
1.50000e+00,3.39925e-01,9.88548e-01,-9.91141e-01,1.37364e+00
1.65000e+00,4.79519e-01,9.13646e-01,-1.10092e+00,1.04034e+00
1.80000e+00,6.13179e-01,7.90387e-01,-1.15220e+00,1.10468e+00
1.95000e+00,7.35027e-01,6.22306e-01,-1.14503e+00,1.53132e+00
2.10000e+00,8.39082e-01,4.15495e-01,-1.08251e+00,2.20661e+00
2.25000e+00,9.19531e-01,1.78310e-01,-9.70556e-01,2.96631e+00
2.40000e+00,9.71014e-01,-7.90550e-02,-8.17542e-01,3.63384e+00
2.55000e+00,9.88923e-01,-3.45102e-01,-6.33785e-01,4.06026e+00
2.70000e+00,9.69681e-01,-6.07636e-01,-4.30955e-01,4.15708e+00
2.85000e+00,9.11002e-01,-8.54416e-01,-2.21409e-01,3.91465e+00
3.00000e+00,8.12103e-01,-1.07382e+00,-1.75059e-02,3.40225e+00
3.15000e+00,6.73863e-01,-1.25546e+00,1.69076e-01,2.75016e+00
3.30000e+00,4.98902e-01,-1.39077e+00,3.27971e-01,2.11805e+00
3.45000e+00,2.91598e-01,-1.47346e+00,4.50676e-01,1.65714e+00
3.60000e+00,5.80035e-02,-1.49985e+00,5.30990e-01,1.47474e+00
3.75000e+00,-1.94316e-01,-1.46911e+00,5.65318e-01,1.60943e+00
3.90000e+00,-4.56524e-01,-1.38326e+00,5.52828e-01,2.02247e+00
4.05000e+00,-7.18839e-01,-1.24711e+00,4.95446e-01,2.60735e+00
4.20000e+00,-9.70912e-01,-1.06797e+00,3.97704e-01,3.21532e+00
4.35000e+00,-1.20226e+00,-8.55260e-01,2.66438e-01,3.69087e+00
4.50000e+00,-1.40271e+00,-6.19996e-01,1.10363e-01,3.90912e+00
4.65000e+00,-1.56291e+00,-3.74199e-01,-6.04579e-02,3.80625e+00
4.80000e+00,-1.67470e+00,-1.30230e-01,-2.35202e-01,3.39609e+00
4.95000e+00,-1.73161e+00,9.98764e-02,-4.02926e-01,2.76856e+00
5.10000e+00,-1.72914e+00,3.05066e-01,-5.53191e-01,2.07040e+00
5.25000e+00,-1.66508e+00,4.75863e-01,-6.76663e-01,1.47206e+00
5.40000e+00,-1.53969e+00,6.04879e-01,-7.65634e-01,1.12828e+00
5.55000e+00,-1.35574e+00,6.87204e-01,-8.14449e-01,1.14137e+00
5.70000e+00,-1.11850e+00,7.20657e-01,-8.19810e-01,1.53533e+00
5.85000e+00,-8.35570e-01,7.05889e-01,-7.80944e-01,2.24734e+00
6.00000e+00,-5.16646e-01,6.46320e-01,-6.99619e-01,3.13862e+00
6.15000e+00,-1.73120e-01,5.47931e-01,-5.80020e-01,4.02274e+00
6.30000e+00,1.82351e-01,4.18899e-01,-4.28486e-01,4.70557e+00
6.45000e+00,5.36364e-01,2.69123e-01,-2.53118e-01,5.02802e+00
6.60000e+00,8.75336e-01,1.09642e-01,-6.33035e-02,4.90221e+00
6.75000e+00,1.18608e+00,-4.80008e-02,1.30842e-01,4.33309e+00
6.90000e+00,1.45638e+00,-1.92434e-01,3.19064e-01,3.42014e+00
7.05000e+00,1.67553e+00,-3.13113e-01,4.91561e-01,2.33870e+00
7.20000e+00,1.83481e+00,-4.00939e-01,6.39545e-01,1.30446e+00
7.35000e+00,1.92787e+00,-4.48787e-01,7.55743e-01,5.28542e-01
7.50000e+00,1.95106e+00,-4.51933e-01,8.34795e-01,1.72774e-01
7.65000e+00,1.90356e+00,-4.08344e-01,8.73550e-01,3.14798e-01
7.80000e+00,1.78746e+00,-3.18807e-01,8.71218e-01,9.30590e-01
7.95000e+00,1.60767e+00,-1.86919e-01,8.29391e-01,1.89835e+00
8.10000e+00,1.37170e+00,-1.88967e-02,7.51921e-01,3.02310e+00
8.25000e+00,1.08939e+00,1.76744e-01,6.44662e-01,4.07692e+00
8.40000e+00,7.72405e-01,3.89651e-01,5.15100e-01,4.84627e+00
8.55000e+00,4.33806e-01,6.08197e-01,3.71884e-01,5.17646e+00
8.70000e+00,8.74233e-02,8.20122e-01,2.24294e-01,5.00373e+00
8.85000e+00,-2.52719e-01,1.01321e+00,8.16686e-02,4.36827e+00
9.00000e+00,-5.73017e-01,1.17595e+00,-4.71628e-02,3.40521e+00
9.15000e+00,-8.60876e-01,1.29822e+00,-1.54421e-01,2.31588e+00
9.30000e+00,-1.10524e+00,1.37181e+00,-2.33852e-01,1.32529e+00
9.45000e+00,-1.29708e+00,1.39093e+00,-2.81108e-01,6.34972e-01
9.60000e+00,-1.42971e+00,1.35251e+00,-2.94018e-01,3.81367e-01
9.75000e+00,-1.49910e+00,1.25643e+00,-2.72721e-01,6.08336e-01
9.90000e+00,-1.50400e+00,1.10552e+00,-2.19665e-01,1.25961e+00
1.00500e+01,-1.44592e+00,9.05425e-01,-1.39463e-01,2.19249e+00
1.02000e+01,-1.32906e+00,6.64367e-01,-3.86166e-02,3.20956e+00
1.03500e+01,-1.16005e+00,3.92674e-01,7.48769e-02,4.10138e+00
1.05000e+01,-9.47609e-01,1.02267e-01,1.92010e-01,4.69088e+00
1.06500e+01,-7.02133e-01,-1.93971e-01,3.03319e-01,4.86980e+00
1.08000e+01,-4.35197e-01,-4.82864e-01,3.99473e-01,4.61960e+00
1.09500e+01,-1.59012e-01,-7.51637e-01,4.71855e-01,4.01254e+00
1.11000e+01,1.14122e-01,-9.88577e-01,5.13121e-01,3.19322e+00
1.12500e+01,3.72365e-01,-1.18364e+00,5.17681e-01,2.34485e+00
1.14000e+01,6.04843e-01,-1.32897e+00,4.82085e-01,1.64815e+00
1.15500e+01,8.02109e-01,-1.41929e+00,4.05294e-01,1.24190e+00
1.17000e+01,9.56511e-01,-1.45214e+00,2.88806e-01,1.19391e+00
1.18500e+01,1.06248e+00,-1.42799e+00,1.36639e-01,1.48857e+00
1.20000e+01,1.11673e+00,-1.35018e+00,-4.48332e-02,2.03342e+00
1.21500e+01,1.11829e+00,-1.22469e+00,-2.47188e-01,2.68292e+00
1.23000e+01,1.06851e+00,-1.05979e+00,-4.60386e-01,3.27364e+00
